base URI,prefix,label,type
http://publications.europa.eu/ontology/authority/,at-ont,Authority Table (legacy),ontology
http://publications.europa.eu/ontology/euvoc#,euvoc,EU Vocabulary Ontology,ontology
http://publications.europa.eu/resource/authority/,at-base,Base AT namespace,at
http://publications.europa.eu/resource/authority/corporate-body-classification/,cob-clas,Corporate Body Classification ,at
http://publications.europa.eu/resource/authority/corporate-body/,cob,Corporate Body,at
http://publications.europa.eu/resource/authority/country/,country,Country,at
http://publications.europa.eu/resource/authority/currency/,currency,Currency,at
http://publications.europa.eu/resource/authority/language/,language,Language,at
http://publications.europa.eu/resource/authority/membership-classification/,membership-clas,Membership Classification,at
http://publications.europa.eu/resource/authority/notation-type/,notation-type,Notation Type,at
http://publications.europa.eu/resource/authority/place/,place,Place,at
http://publications.europa.eu/resource/authority/site/,site,Site,at
http://purl.org/dc/elements/1.1/,dc,Dublin Core Elements,ontology
http://purl.org/dc/terms/,dct,Dublin Core Terms,ontology
http://www.w3.org/1999/02/22-rdf-syntax-ns#,rdf,RDF,language
http://www.w3.org/2000/01/rdf-schema#,rdfs,RDFS,language
http://www.w3.org/2002/07/owl#,owl,OWL,language
http://www.w3.org/2004/02/skos/core#,skos,SKOS,ontology